name,measure,rarefied,value
CHOMP-7,Shannon,Rarefied,1.3765538237842552
CHOMP-7,Faith PD,Rarefied,3.1856109172138325
CHOMP-8,Richness,Raw,15
CHOMP-8,Shannon,Raw,1.123448564416542
CHOMP-8,Faith PD,Raw,3.4908120231595876
CHOMP-8,Richness,Rarefied,11.264806404144435
CHOMP-8,Shannon,Rarefied,1.1419096503803334
CHOMP-8,Faith PD,Rarefied,3.136299864230535
CHOMP-9,Richness,Raw,12
CHOMP-9,Shannon,Raw,0.8061586462149737
CHOMP-9,Faith PD,Raw,3.392439893854803
CHOMP-9,Richness,Rarefied,8.442244656381394
CHOMP-9,Shannon,Rarefied,0.8355691746371351
CHOMP-9,Faith PD,Rarefied,2.7390319388773086
CHOMP-10,Richness,Raw,14
CHOMP-10,Shannon,Raw,1.2858505103396938
CHOMP-10,Faith PD,Raw,3.188363477292496
CHOMP-10,Richness,Rarefied,12.362101286594203
CHOMP-10,Shannon,Rarefied,1.280006213735763
CHOMP-10,Faith PD,Rarefied,2.5077381642246657
CHOMP-11,Richness,Raw,9
CHOMP-11,Shannon,Raw,1.952201960800652
CHOMP-11,Faith PD,Raw,3.5161746600495727
CHOMP-11,Richness,Rarefied,8.999999999502762
CHOMP-11,Shannon,Rarefied,1.9521192091154855
CHOMP-11,Faith PD,Rarefied,3.5161746600495727
CHOMP-12,Richness,Raw,22
CHOMP-12,Shannon,Raw,1.1326336910479164
CHOMP-12,Faith PD,Raw,4.4645838618759575
CHOMP-12,Richness,Rarefied,18.470398636701127
CHOMP-12,Shannon,Rarefied,1.2079391638141421
CHOMP-12,Faith PD,Rarefied,4.003265356699466
CHOMP-13,Richness,Raw,10
CHOMP-13,Shannon,Raw,0.6250393105364771
CHOMP-13,Faith PD,Raw,3.0153383377373144
CHOMP-13,Richness,Rarefied,9.600357044216196
CHOMP-13,Shannon,Rarefied,0.64966819680323
CHOMP-13,Faith PD,Rarefied,2.6436963622943916
CHOMP-14,Richness,Raw,18
CHOMP-14,Shannon,Raw,1.7410523932392206
CHOMP-14,Faith PD,Raw,4.693659844752194
CHOMP-14,Richness,Rarefied,15.17985877454896
CHOMP-14,Shannon,Rarefied,1.6932510377623309
CHOMP-14,Faith PD,Rarefied,4.554686091882573
CHOMP-15,Richness,Raw,23
CHOMP-15,Shannon,Raw,1.8503175380574675
CHOMP-15,Faith PD,Raw,5.4693696953566455
CHOMP-15,Richness,Rarefied,19.98493140211474
CHOMP-15,Shannon,Rarefied,1.8224167622364993
CHOMP-15,Faith PD,Rarefied,5.444536471971473
CHOMP-16,Richness,Raw,14
CHOMP-16,Shannon,Raw,1.0738486726091105
CHOMP-16,Faith PD,Raw,4.193328407753226
CHOMP-16,Richness,Rarefied,11.926879107643094
CHOMP-16,Shannon,Rarefied,1.0015260159955517
CHOMP-16,Faith PD,Rarefied,3.526224729826774
CHOMP-17,Richness,Raw,16
CHOMP-17,Shannon,Raw,1.2541490685068866
CHOMP-17,Faith PD,Raw,3.8909067510092927
CHOMP-17,Richness,Rarefied,14.051970551356078
CHOMP-17,Shannon,Rarefied,1.2497158933774593
CHOMP-17,Faith PD,Rarefied,3.2157760105056665
CHOMP-18,Richness,Raw,16
CHOMP-18,Shannon,Raw,1.5150503874852836
CHOMP-18,Faith PD,Raw,3.8934598567080756
CHOMP-18,Richness,Rarefied,14.290614252346547
CHOMP-18,Shannon,Rarefied,1.4686672906249287
CHOMP-18,Faith PD,Rarefied,3.5218178812651524
CHOMP-19,Richness,Raw,20
CHOMP-19,Shannon,Raw,2.5611349355972974
CHOMP-19,Faith PD,Raw,4.737777464333233
CHOMP-19,Richness,Rarefied,19.86428203738169
CHOMP-19,Shannon,Rarefied,2.5698859178427584
CHOMP-19,Faith PD,Rarefied,4.737777464333233
CHOMP-20,Richness,Raw,23
CHOMP-20,Shannon,Raw,1.6212615019854195
CHOMP-20,Faith PD,Raw,6.180080074108562
CHOMP-20,Richness,Rarefied,17.443012975129832
CHOMP-20,Shannon,Rarefied,1.62780652825076
CHOMP-20,Faith PD,Rarefied,5.766782031023444
CHOMP-21,Richness,Raw,25
CHOMP-21,Shannon,Raw,2.5291819037151435
CHOMP-21,Faith PD,Raw,4.7561362026831215
CHOMP-21,Richness,Rarefied,24.60382977777949
CHOMP-21,Shannon,Rarefied,2.5394250868290937
CHOMP-21,Faith PD,Rarefied,4.73485750813665
CHOMP-22,Richness,Raw,13
CHOMP-22,Shannon,Raw,0.19378246902652155
CHOMP-22,Faith PD,Raw,3.1369362990509924
CHOMP-22,Richness,Rarefied,7.57479507435284
CHOMP-22,Shannon,Rarefied,0.2418621810116702
CHOMP-22,Faith PD,Rarefied,1.8804040876346104
CHOMP-23,Richness,Raw,22
CHOMP-23,Shannon,Raw,1.4896218865529693
CHOMP-23,Faith PD,Raw,4.746180460083586
CHOMP-23,Richness,Rarefied,17.953079726712243
CHOMP-23,Shannon,Rarefied,1.5263646655553347
CHOMP-23,Faith PD,Rarefied,3.941987741640885
CHOMP-24,Richness,Raw,14
CHOMP-24,Shannon,Raw,1.259380942467997
CHOMP-24,Faith PD,Raw,3.770773533700892
CHOMP-24,Richness,Rarefied,13.412762593598984
CHOMP-24,Shannon,Rarefied,1.1777241735341604
CHOMP-24,Faith PD,Rarefied,3.770773533700892
CHOMP-25,Richness,Raw,22
CHOMP-25,Shannon,Raw,1.2823008847583814
CHOMP-25,Faith PD,Raw,5.124879173353236
CHOMP-25,Richness,Rarefied,15.555793365570851
CHOMP-25,Shannon,Rarefied,1.257898943222099
CHOMP-25,Faith PD,Rarefied,4.140018502462013
CHOMP-26,Richness,Raw,5
CHOMP-26,Shannon,Raw,1.3012562624851294
CHOMP-26,Faith PD,Raw,2.411576813330901
CHOMP-26,Richness,Rarefied,4.350783275525899
CHOMP-26,Shannon,Rarefied,1.2967619610856798
CHOMP-26,Faith PD,Rarefied,2.0523989789484993
CHOMP-27,Richness,Raw,12
CHOMP-27,Shannon,Raw,1.4535693659979254
CHOMP-27,Faith PD,Raw,3.410489057222947
CHOMP-27,Richness,Rarefied,11.29326570255697
CHOMP-27,Shannon,Rarefied,1.4732618408378255
CHOMP-27,Faith PD,Rarefied,3.410489057222947
CHOMP-28,Richness,Raw,15
CHOMP-28,Shannon,Raw,2.588766207825464
CHOMP-28,Faith PD,Raw,3.5778114869596065
CHOMP-28,Richness,Rarefied,14.999999999518458
CHOMP-28,Shannon,Rarefied,2.5674708769557366
CHOMP-28,Faith PD,Rarefied,3.5778114869596065
CHOMP-29,Richness,Raw,6
CHOMP-29,Shannon,Raw,1.338392238343835
CHOMP-29,Faith PD,Raw,2.247679392007368
CHOMP-29,Richness,Rarefied,5.504032974198465
CHOMP-29,Shannon,Rarefied,1.3390231943242017
CHOMP-29,Faith PD,Rarefied,1.8760374165644451
CHOMP-30,Richness,Raw,13
CHOMP-30,Shannon,Raw,1.8367402704955187
CHOMP-30,Faith PD,Raw,3.679402363101313
CHOMP-30,Richness,Rarefied,12.971231112596723
CHOMP-30,Shannon,Rarefied,1.8635799862977083
CHOMP-30,Faith PD,Rarefied,3.679402363101313
CHOMP-31,Richness,Raw,8
CHOMP-31,Shannon,Raw,1.363330606660302
CHOMP-31,Faith PD,Raw,2.778344575818238
CHOMP-31,Richness,Rarefied,6.877835750390758
CHOMP-31,Shannon,Rarefied,1.3829057787392152
CHOMP-31,Faith PD,Rarefied,2.6038185656124866
CHOMP-32,Richness,Raw,22
CHOMP-32,Shannon,Raw,1.2264249672995025
CHOMP-32,Faith PD,Raw,5.233059098622391
CHOMP-32,Richness,Rarefied,16.56786592804413
CHOMP-32,Shannon,Rarefied,1.257874736104376
CHOMP-32,Faith PD,Rarefied,4.565318262561716
CHOMP-33,Richness,Raw,2
CHOMP-33,Shannon,Raw,0.6856704453454181
CHOMP-33,Faith PD,Raw,1.2040829993937554
CHOMP-33,Richness,Rarefied,2
CHOMP-33,Shannon,Rarefied,0.6861689334163774
CHOMP-33,Faith PD,Rarefied,1.2040829993937554
CHOMP-34,Richness,Raw,19
CHOMP-34,Shannon,Raw,1.9425848513185475
CHOMP-34,Faith PD,Raw,4.339768227251229
CHOMP-34,Richness,Rarefied,18.941873116675147
CHOMP-34,Shannon,Rarefied,1.9297051753213252
CHOMP-34,Faith PD,Rarefied,4.339768227251229
CHOMP-35,Richness,Raw,10
CHOMP-35,Shannon,Raw,0.7758214239728012
CHOMP-35,Faith PD,Raw,3.503039870848013
CHOMP-35,Richness,Rarefied,8.600206760861326
CHOMP-35,Shannon,Rarefied,0.7956375045274524
CHOMP-35,Faith PD,Rarefied,3.2848106276374307
CHOMP-36,Richness,Raw,19
CHOMP-36,Shannon,Raw,0.45567624912634475
CHOMP-36,Faith PD,Raw,4.152248411020249
CHOMP-36,Richness,Rarefied,13.561638325816524
CHOMP-36,Shannon,Rarefied,0.42427054926642704
CHOMP-36,Faith PD,Rarefied,3.256157112604124
CHOMP-37,Richness,Raw,21
CHOMP-37,Shannon,Raw,1.649170731375232
CHOMP-37,Faith PD,Raw,4.780631508453807
CHOMP-37,Richness,Rarefied,17.613951880161018
CHOMP-37,Shannon,Rarefied,1.6525621838806992
CHOMP-37,Faith PD,Rarefied,4.054082431089833
CHOMP-38,Richness,Raw,19
CHOMP-38,Shannon,Raw,1.4415199825785665
CHOMP-38,Faith PD,Raw,5.125561557522397
CHOMP-38,Richness,Rarefied,17.891428004273326
CHOMP-38,Shannon,Rarefied,1.404657795581872
CHOMP-38,Faith PD,Rarefied,5.06194568216543
CHOMP-39,Richness,Raw,0
CHOMP-39,Shannon,Raw,0
CHOMP-39,Faith PD,Raw,0
CHOMP-39,Richness,Rarefied,NA
CHOMP-39,Shannon,Rarefied,NA
CHOMP-39,Faith PD,Rarefied,NA
CHOMP-40,Richness,Raw,6
CHOMP-40,Shannon,Raw,1.1903023042985619
CHOMP-40,Faith PD,Raw,2.2688335073566432
CHOMP-40,Richness,Rarefied,5.807080375930738
CHOMP-40,Shannon,Rarefied,1.1809152824812157
CHOMP-40,Faith PD,Rarefied,2.2688335073566432
CHOMP-41,Richness,Raw,14
CHOMP-41,Shannon,Raw,1.7623985163093288
CHOMP-41,Faith PD,Raw,3.6789131224729656
CHOMP-41,Richness,Rarefied,13.301542426002198
CHOMP-41,Shannon,Rarefied,1.733228329439124
CHOMP-41,Faith PD,Rarefied,3.548141810403017
CHOMP-42,Richness,Raw,13
CHOMP-42,Shannon,Raw,1.1682679246767904
CHOMP-42,Faith PD,Raw,4.315036666525998
CHOMP-42,Richness,Rarefied,12.91390546308281
CHOMP-42,Shannon,Rarefied,1.16300498787784
CHOMP-42,Faith PD,Rarefied,4.315036666525998
CHOMP-43,Richness,Raw,16
CHOMP-43,Shannon,Raw,1.5171158346982934
CHOMP-43,Faith PD,Raw,4.250026206915236
CHOMP-43,Richness,Rarefied,12.340458308221956
CHOMP-43,Shannon,Rarefied,1.547761522161336
CHOMP-43,Faith PD,Rarefied,3.741706372761845
CHOMP-44,Richness,Raw,17
CHOMP-44,Shannon,Raw,1.0387104315061402
CHOMP-44,Faith PD,Raw,3.92277380519129
CHOMP-44,Richness,Rarefied,15.682465222848059
CHOMP-44,Shannon,Rarefied,1.1105642613116273
CHOMP-44,Faith PD,Rarefied,3.9020551400657304
CHOMP-45,Richness,Raw,22
CHOMP-45,Shannon,Raw,2.07318916675519
CHOMP-45,Faith PD,Raw,5.3396201772770455
CHOMP-45,Richness,Rarefied,18.788622253729827
CHOMP-45,Shannon,Rarefied,2.0382405612095376
CHOMP-45,Faith PD,Rarefied,4.582965357287845
CHOMP-46,Richness,Raw,21
CHOMP-46,Shannon,Raw,1.5578840721126948
CHOMP-46,Faith PD,Raw,5.141469923395138
CHOMP-46,Richness,Rarefied,15.859866151871413
CHOMP-46,Shannon,Rarefied,1.602381342273248
CHOMP-46,Faith PD,Rarefied,4.290067877297885
CHOMP-47,Richness,Raw,25
CHOMP-47,Shannon,Raw,1.7218688432395226
CHOMP-47,Faith PD,Raw,5.283128490545752
CHOMP-47,Richness,Rarefied,23.411834960091266
CHOMP-47,Shannon,Rarefied,1.7058676651664784
CHOMP-47,Faith PD,Rarefied,5.217055571339062
CHOMP-48,Richness,Raw,19
CHOMP-48,Shannon,Raw,1.8191252121483428
CHOMP-48,Faith PD,Raw,3.9346377390376492
CHOMP-48,Richness,Rarefied,17.58551819500299
CHOMP-48,Shannon,Rarefied,1.8572765675776375
CHOMP-48,Faith PD,Rarefied,3.764080868385445
CHOMP-49,Richness,Raw,25
CHOMP-49,Shannon,Raw,2.110043666746827
CHOMP-49,Faith PD,Raw,4.849029311128469
CHOMP-49,Richness,Rarefied,22.15277822868564
CHOMP-49,Shannon,Rarefied,2.1425708789495537
CHOMP-49,Faith PD,Rarefied,4.453405615772388
CHOMP-50,Richness,Raw,21
CHOMP-50,Shannon,Raw,2.2355122158156076
CHOMP-50,Faith PD,Raw,5.000078286629208
CHOMP-50,Richness,Rarefied,20.23039776946813
CHOMP-50,Shannon,Rarefied,2.1934130293579215
CHOMP-50,Faith PD,Rarefied,4.676623334048805
CHOMP-51,Richness,Raw,23
CHOMP-51,Shannon,Raw,1.619542487608535
CHOMP-51,Faith PD,Raw,6.064385149306678
CHOMP-51,Richness,Rarefied,19.59891810829642
CHOMP-51,Shannon,Rarefied,1.5803228251125434
CHOMP-51,Faith PD,Rarefied,5.274903612245363
CHOMP-52,Richness,Raw,19
CHOMP-52,Shannon,Raw,1.475082572376824
CHOMP-52,Faith PD,Raw,4.863674826160635
CHOMP-52,Richness,Rarefied,14.63020441367904
CHOMP-52,Shannon,Rarefied,1.422670784113634
CHOMP-52,Faith PD,Rarefied,3.73280253545241
CHOMP-53,Richness,Raw,19
CHOMP-53,Shannon,Raw,1.722322402778069
CHOMP-53,Faith PD,Raw,4.829774247328933
CHOMP-53,Richness,Rarefied,14.150168468170428
CHOMP-53,Shannon,Rarefied,1.6982507365173973
CHOMP-53,Faith PD,Rarefied,3.632443577296957
CHOMP-54,Richness,Raw,26
CHOMP-54,Shannon,Raw,1.6615741683115506
CHOMP-54,Faith PD,Raw,5.1694187518921035
CHOMP-54,Richness,Rarefied,22.24261900527828
CHOMP-54,Shannon,Rarefied,1.6403486329908474
CHOMP-54,Faith PD,Rarefied,5.145044044645892
CHOMP-55,Richness,Raw,16
CHOMP-55,Shannon,Raw,1.4006504422261306
CHOMP-55,Faith PD,Raw,4.058806103475651
CHOMP-55,Richness,Rarefied,12.44717719439069
CHOMP-55,Shannon,Rarefied,1.369229747122062
CHOMP-55,Faith PD,Rarefied,3.8360735621669986
CHOMP-56,Richness,Raw,12
CHOMP-56,Shannon,Raw,1.7665383330521276
CHOMP-56,Faith PD,Raw,2.912768297979896
CHOMP-56,Richness,Rarefied,11.160901417396428
CHOMP-56,Shannon,Rarefied,1.8078163981819546
CHOMP-56,Faith PD,Rarefied,2.912768297979896
CHOMP-57,Richness,Raw,29
CHOMP-57,Shannon,Raw,0.8147519340083028
CHOMP-57,Faith PD,Raw,5.760124028055954
CHOMP-57,Richness,Rarefied,19.20370907473589
CHOMP-57,Shannon,Rarefied,0.8494829791058769
CHOMP-57,Faith PD,Rarefied,4.990125011276305
CHOMP-58,Richness,Raw,19
CHOMP-58,Shannon,Raw,1.5844856953015916
CHOMP-58,Faith PD,Raw,4.254322548484071
CHOMP-58,Richness,Rarefied,14.626139649552588
CHOMP-58,Shannon,Rarefied,1.602498636649055
CHOMP-58,Faith PD,Rarefied,3.730535706444145
CHOMP-59,Richness,Raw,19
CHOMP-59,Shannon,Raw,1.6388727546321706
CHOMP-59,Faith PD,Raw,4.358713636657999
CHOMP-59,Richness,Rarefied,17.503906115057397
CHOMP-59,Shannon,Rarefied,1.6117770223548291
CHOMP-59,Faith PD,Rarefied,4.215802455947068
CHOMP-60,Richness,Raw,24
CHOMP-60,Shannon,Raw,2.054017783539333
CHOMP-60,Faith PD,Raw,5.113689928061473
CHOMP-60,Richness,Rarefied,20.876398855874438
CHOMP-60,Shannon,Rarefied,2.0479583484101744
CHOMP-60,Faith PD,Rarefied,4.781007038705022
CHOMP-61,Richness,Raw,23
CHOMP-61,Shannon,Raw,2.24189455685877
CHOMP-61,Faith PD,Raw,5.263400896509195
CHOMP-61,Richness,Rarefied,21.036540583326833
CHOMP-61,Shannon,Rarefied,2.2095385031437353
CHOMP-61,Faith PD,Rarefied,5.2148886747778445
CHOMP-62,Richness,Raw,20
CHOMP-62,Shannon,Raw,1.4897127580909668
CHOMP-62,Faith PD,Raw,4.885270301886168
CHOMP-62,Richness,Rarefied,17.484879936989348
CHOMP-62,Shannon,Rarefied,1.383594702883932
CHOMP-62,Faith PD,Rarefied,4.771898202026351
CHOMP-63,Richness,Raw,25
CHOMP-63,Shannon,Raw,1.9463630671968275
CHOMP-63,Faith PD,Raw,5.247693550128657
CHOMP-63,Richness,Rarefied,22.73630735391965
CHOMP-63,Shannon,Rarefied,1.944642909182842
CHOMP-63,Faith PD,Rarefied,4.929400810949258
CHOMP-64,Richness,Raw,29
CHOMP-64,Shannon,Raw,1.7958042531265337
CHOMP-64,Faith PD,Raw,5.713619647065744
CHOMP-64,Richness,Rarefied,24.099010564634845
CHOMP-64,Shannon,Rarefied,1.8315705716026125
CHOMP-64,Faith PD,Rarefied,5.532099526766167
CHOMP-65,Richness,Raw,22
CHOMP-65,Shannon,Raw,2.139070048963277
CHOMP-65,Faith PD,Raw,4.9680245249117565
CHOMP-65,Richness,Rarefied,19.2357559341145
CHOMP-65,Shannon,Rarefied,2.182186129273574
CHOMP-65,Faith PD,Rarefied,4.3213215290797296
CHOMP-66,Richness,Raw,20
CHOMP-66,Shannon,Raw,0.46266032462748835
CHOMP-66,Faith PD,Raw,4.264126644030933
CHOMP-66,Richness,Rarefied,12.195941794168084
CHOMP-66,Shannon,Rarefied,0.46485338782994806
CHOMP-66,Faith PD,Rarefied,3.2645350563968663
CHOMP-67,Richness,Raw,30
CHOMP-67,Shannon,Raw,1.807637720044842
CHOMP-67,Faith PD,Raw,6.106258111621967
CHOMP-67,Richness,Rarefied,23.749737674029287
CHOMP-67,Shannon,Rarefied,1.8808351956230611
CHOMP-67,Faith PD,Rarefied,5.779536716326782
CHOMP-68,Richness,Raw,32
CHOMP-68,Shannon,Raw,1.7582900270863484
CHOMP-68,Faith PD,Raw,6.2091623926720985
CHOMP-68,Richness,Rarefied,27.849224702523337
CHOMP-68,Shannon,Rarefied,1.7765437453238617
CHOMP-68,Faith PD,Rarefied,5.954483081764212
CHOMP-69,Richness,Raw,15
CHOMP-69,Shannon,Raw,1.1288762931569076
CHOMP-69,Faith PD,Raw,3.3367448395226624
CHOMP-69,Richness,Rarefied,9.62702831163301
CHOMP-69,Shannon,Rarefied,1.1053451153826361
CHOMP-69,Faith PD,Rarefied,2.242785798599184
CHOMP-70,Richness,Raw,26
CHOMP-70,Shannon,Raw,1.7579424944646547
CHOMP-70,Faith PD,Raw,5.522732005625249
CHOMP-70,Richness,Rarefied,20.265844381842758
CHOMP-70,Shannon,Rarefied,1.7188169322147542
CHOMP-70,Faith PD,Rarefied,5.232396652913765
CHOMP-71,Richness,Raw,29
CHOMP-71,Shannon,Raw,1.7756942940215432
CHOMP-71,Faith PD,Raw,4.708393543218266
CHOMP-71,Richness,Rarefied,21.634665028282022
CHOMP-71,Shannon,Rarefied,1.7528724026657803
CHOMP-71,Faith PD,Rarefied,3.7927506817196255
CHOMP-72,Richness,Raw,28
CHOMP-72,Shannon,Raw,1.0745351830115033
CHOMP-72,Faith PD,Raw,6.985419796665567
CHOMP-72,Richness,Rarefied,19.51155230894647
CHOMP-72,Shannon,Rarefied,1.0420403907299465
CHOMP-72,Faith PD,Rarefied,5.192709782811271
CHOMP-73,Richness,Raw,27
CHOMP-73,Shannon,Raw,1.9039656162898728
CHOMP-73,Faith PD,Raw,4.955058426984317
CHOMP-73,Richness,Rarefied,18.704600095403364
CHOMP-73,Shannon,Rarefied,1.8481796225264937
CHOMP-73,Faith PD,Rarefied,3.6109994052591263
CHOMP-74,Richness,Raw,30
CHOMP-74,Shannon,Raw,2.084585585690307
CHOMP-74,Faith PD,Raw,6.549156366073265
CHOMP-74,Richness,Rarefied,26.703392199341454
CHOMP-74,Shannon,Rarefied,2.1637514788257772
CHOMP-74,Faith PD,Rarefied,6.146527084571481
CHOMP-75,Richness,Raw,11
CHOMP-75,Shannon,Raw,1.5562523059576008
CHOMP-75,Faith PD,Raw,2.5604456372235997
CHOMP-75,Richness,Rarefied,10.961335620852251
CHOMP-75,Shannon,Rarefied,1.5764233086624875
CHOMP-75,Faith PD,Rarefied,2.5604456372235997
CHOMP-76,Richness,Raw,25
CHOMP-76,Shannon,Raw,1.1690318873366408
CHOMP-76,Faith PD,Raw,4.624841059046085
CHOMP-76,Richness,Rarefied,20.12736326272811
CHOMP-76,Shannon,Rarefied,1.1041671938509299
CHOMP-76,Faith PD,Rarefied,4.243996229615843
CHOMP-77,Richness,Raw,27
CHOMP-77,Shannon,Raw,1.9400359842522426
CHOMP-77,Faith PD,Raw,5.791844996013377
CHOMP-77,Richness,Rarefied,22.364674738157927
CHOMP-77,Shannon,Rarefied,1.9380967764422785
CHOMP-77,Faith PD,Rarefied,5.093094579569043
CHOMP-78,Richness,Raw,23
CHOMP-78,Shannon,Raw,1.1019290192953775
CHOMP-78,Faith PD,Raw,5.2112369116592365
CHOMP-78,Richness,Rarefied,12.810166269477495
CHOMP-78,Shannon,Rarefied,1.0959557791444776
CHOMP-78,Faith PD,Rarefied,3.7142190622964053
CHOMP-79,Richness,Raw,26
CHOMP-79,Shannon,Raw,1.8950148872703863
CHOMP-79,Faith PD,Raw,5.791411014525884
CHOMP-79,Richness,Rarefied,23.033323058421594
CHOMP-79,Shannon,Rarefied,1.8918289339321541
CHOMP-79,Faith PD,Rarefied,4.6801661800341785
CHOMP-80,Richness,Raw,21
CHOMP-80,Shannon,Raw,1.6658474130480516
CHOMP-80,Faith PD,Raw,4.510949339586977
CHOMP-80,Richness,Rarefied,19.443453649111063
CHOMP-80,Shannon,Rarefied,1.665817779447502
CHOMP-80,Faith PD,Rarefied,4.510949319586977
CHOMP-81,Richness,Raw,13
CHOMP-81,Shannon,Raw,1.2743439897247135
CHOMP-81,Faith PD,Raw,2.978017679334925
CHOMP-81,Richness,Rarefied,11.821985243857613
CHOMP-81,Shannon,Rarefied,1.2318383884906474
CHOMP-81,Faith PD,Rarefied,2.9780176593349252
CHOMP-82,Richness,Raw,28
CHOMP-82,Shannon,Raw,2.0315757424478607
CHOMP-82,Faith PD,Raw,6.393677950612691
CHOMP-82,Richness,Rarefied,25.529929212190112
CHOMP-82,Shannon,Rarefied,1.99709538625613
CHOMP-82,Faith PD,Rarefied,6.08682731345687
CHOMP-83,Richness,Raw,41
CHOMP-83,Shannon,Raw,2.341634563596469
CHOMP-83,Faith PD,Raw,7.9331907768126415
CHOMP-83,Richness,Rarefied,31.653994661500242
CHOMP-83,Shannon,Rarefied,2.280469374988664
CHOMP-83,Faith PD,Rarefied,5.567039877870764
CHOMP-84,Richness,Raw,9
CHOMP-84,Shannon,Raw,1.520616522879112
CHOMP-84,Faith PD,Raw,2.258519724651272
CHOMP-84,Richness,Rarefied,8.997558640213127
CHOMP-84,Shannon,Rarefied,1.461588191920756
CHOMP-84,Faith PD,Rarefied,2.258519724651272
CHOMP-85,Richness,Raw,15
CHOMP-85,Shannon,Raw,0.2825459856832583
CHOMP-85,Faith PD,Raw,3.740236814149201
CHOMP-85,Richness,Rarefied,10.332223175801667
CHOMP-85,Shannon,Rarefied,0.2630830622877753
CHOMP-85,Faith PD,Rarefied,2.775097620843929
CHOMP-86,Richness,Raw,23
CHOMP-86,Shannon,Raw,1.9098050746592976
CHOMP-86,Faith PD,Raw,5.4667061485946284
CHOMP-86,Richness,Rarefied,21.187439217492074
CHOMP-86,Shannon,Rarefied,1.8492522049269362
CHOMP-86,Faith PD,Rarefied,5.173818142568133
CHOMP-87,Richness,Raw,16
CHOMP-87,Shannon,Raw,1.304488017787651
CHOMP-87,Faith PD,Raw,3.4078768602368905
CHOMP-87,Richness,Rarefied,13.013061114956963
CHOMP-87,Shannon,Rarefied,1.2098287165967823
CHOMP-87,Faith PD,Rarefied,2.808440026083992
CHOMP-88,Richness,Raw,15
CHOMP-88,Shannon,Raw,1.5579750446793068
CHOMP-88,Faith PD,Raw,3.348798084909536
CHOMP-88,Richness,Rarefied,11.142525473822872
CHOMP-88,Shannon,Rarefied,1.54091906362358
CHOMP-88,Faith PD,Rarefied,2.370746156235926
CHOMP-89,Richness,Raw,13
CHOMP-89,Shannon,Raw,1.8908412307066715
CHOMP-89,Faith PD,Raw,3.28984583051324
CHOMP-89,Richness,Rarefied,12.238707856634745
CHOMP-89,Shannon,Rarefied,1.8474444292231003
CHOMP-89,Faith PD,Rarefied,2.918203855070317
CHOMP-90,Richness,Raw,8
CHOMP-90,Shannon,Raw,0.4705306533597365
CHOMP-90,Faith PD,Raw,2.2714397923769596
CHOMP-90,Richness,Rarefied,6.413801736221739
CHOMP-90,Shannon,Rarefied,0.4591891812806939
CHOMP-90,Faith PD,Rarefied,1.836181931577069
CHOMP-91,Richness,Raw,14
CHOMP-91,Shannon,Raw,1.5614150663371644
CHOMP-91,Faith PD,Raw,3.3826210493340514
CHOMP-91,Richness,Rarefied,9.913306964202937
CHOMP-91,Shannon,Rarefied,1.5601374162986499
CHOMP-91,Faith PD,Rarefied,2.321847476380764
CHOMP-92,Richness,Raw,26
CHOMP-92,Shannon,Raw,2.1733512736841742
CHOMP-92,Faith PD,Raw,5.474307905339517
CHOMP-92,Richness,Rarefied,22.383232034441985
CHOMP-92,Shannon,Rarefied,2.1317282693352118
CHOMP-92,Faith PD,Rarefied,5.323787426619827
